Linha_Sentido,Paradas
0.018_IDA,"[(201525.5071962654, 8255354.906054546), (201192.67654007446, 8255142.432494853), (201189.0860030583, 8254514.356009521), (200817.68417763343, 8254726.716363162), (200646.35869982635, 8255167.976454443), (201112.5033392326, 8255301.064192091), (201417.0725668962, 8255301.438844653), (201479.07704672436, 8255181.7733187815), (202062.1202021696, 8253497.89908535), (202264.9653035418, 8253182.1119790645), (200607.64221866205, 8250815.612929205), (199882.1395653622, 8250154.459492747), (199432.39139832804, 8249696.607958136), (199404.33179370317, 8249179.399981369), (199475.93123650612, 8248900.497031692), (199337.3250624908, 8248380.864572593), (198908.38389287482, 8247961.38511632), (198573.64172063474, 8247635.333117548), (197694.43966724921, 8247298.529282081), (197313.89879332634, 8247701.394483858), (196512.9960310925, 8249077.343373832), (195658.0244821077, 8249561.389519616), (194991.68101481366, 8250027.107136078), (194305.32248767375, 8250905.641247721), (193340.70140134258, 8251203.0360055445), (192840.79309214067, 8251354.468923285), (192826.62123922948, 8251359.617863402), (192758.899172997, 8251381.6304217195), (192583.00070161888, 8251436.890946462), (192407.8407635204, 8251490.975880374), (192226.9469500958, 8251545.729403277), (192043.62736370438, 8251602.818367711), (191481.1210994869, 8251780.882194247), (190700.7218567105, 8252055.426684973), (190625.27193503163, 8252846.5954464935), (190619.17208496187, 8253196.441279561), (190585.00952220432, 8253553.594632948), (190473.57809777986, 8254256.165194158), (190419.971451777, 8254478.185473626), (190322.66280183918, 8254809.044596968), (190217.61899194724, 8255131.630785237), (190103.35572551686, 8255484.904683626), (189995.57942850498, 8255813.307955481), (189876.18568335177, 8256181.438554192), (189772.80780796942, 8256499.775844228), (189651.87968091277, 8256865.893322604), (189549.2737386107, 8257181.852199043), (189423.7273241693, 8257570.028224368), (189381.9833703522, 8258021.2960928595), (188527.5841133911, 8258097.535925634)]"
0.018_VOLTA,"[(188739.5290032365, 8258122.98075948), (189285.61650584632, 8257858.764298311), (189406.00966588032, 8257490.907248838), (189510.99294595528, 8257168.520470135), (189629.4939881902, 8256805.2914250465), (189734.96094241293, 8256481.893770757), (189851.29972286883, 8256124.173616398), (189957.58434905877, 8255797.271529938), (190076.22523004655, 8255434.331641055), (190179.6754340932, 8255115.173147885), (190297.81348333115, 8254751.666301979), (190377.06409137356, 8254464.735386114), (190447.44960968898, 8254183.485237617), (190506.04257028562, 8253843.892649552), (190547.71457660716, 8253513.445100055), (190575.77520444727, 8253170.847098725), (190570.83115485572, 8252698.3407064015), (192248.2845967843, 8251280.160657467), (192427.09647584136, 8251224.526916704), (192605.1303469413, 8251169.302328822), (192968.6177473792, 8251056.569322089), (193331.159927079, 8250944.680728183), (194309.4637950105, 8250875.231044563), (195017.21486398455, 8249953.177769543), (196486.38575385814, 8249057.564965221), (197263.56197022658, 8247706.0854176115), (197743.6739828502, 8247250.059487214), (198094.49743470957, 8247255.888379939), (198682.2423135317, 8247674.973165087), (198933.82780638683, 8247920.757075277), (199310.93975304306, 8248287.963422853), (199521.22599708216, 8248639.073873356), (199513.49712263636, 8248952.484279242), (199434.33011617302, 8249246.902477086), (199531.9499234248, 8249765.371365162), (199940.1179282623, 8250143.571849004), (200645.964806356, 8250818.936178273), (201865.58619388548, 8251766.60307277), (202438.4382179837, 8252838.548578775), (202336.07944806217, 8253167.366014072), (202336.49739637814, 8253169.592555662), (202189.10976062034, 8253424.370089647), (201525.5071962654, 8255354.906054546), (201192.67654007446, 8255142.432494853), (201189.0860030583, 8254514.356009521), (200817.68417763343, 8254726.716363162), (200646.35869982635, 8255167.976454443), (201112.5033392326, 8255301.064192091), (201417.0725668962, 8255301.438844653), (201581.4991320543, 8255347.020119835), (201596.72351826477, 8255356.97045415), (202045.95874263713, 8255525.451532738)]"
100.2_VOLTA,"[(191225.63215564645, 8251734.843398984), (191756.77141613493, 8251331.695231052), (191505.03985682336, 8250566.530774557), (191196.47052916753, 8250197.192566121), (190901.77366873264, 8249840.6683242265), (190613.76176118143, 8249498.711043272), (190401.97272769574, 8249272.406934383), (190122.99210343335, 8249000.579292806), (189808.0203541651, 8248723.000676388), (189468.47485309705, 8248460.807828165), (189193.60229672637, 8248248.901478907), (188897.49908145063, 8248022.3757996345), (188610.9092330374, 8247801.890554849), (188326.66366865195, 8247583.862296303), (188034.77346350625, 8247358.913678705), (187756.51646532054, 8247145.821333963), (187468.46672980316, 8246924.362912458), (187130.385328626, 8246665.487405735), (187066.90910286494, 8246436.719396918), (186422.9421998161, 8244498.278010131), (187365.4406942288, 8244720.661613353), (187756.5823354766, 8244853.014924359), (188043.31921351183, 8245159.637775489), (188530.22152525134, 8245511.668496006), (189016.59568418315, 8245690.692736225), (189854.57852823386, 8245995.9444713965), (190541.3861035587, 8246251.598969247), (190979.50995387702, 8246562.72124143), (191320.7038870096, 8247090.1232275665), (191578.24810560947, 8247541.464653081), (191777.93938206526, 8247666.502695333), (192844.66778834985, 8247348.6301630335), (192871.2964761299, 8246838.537659674), (192656.99633982743, 8246531.382991016), (192408.03913801166, 8246216.526308103), (192133.31165662888, 8245868.892665126), (191883.20149597494, 8245015.202831273), (192644.25301618635, 8244492.48479544), (193230.4458725321, 8244676.844695656), (193640.2202703925, 8244847.443582286), (194085.6418330237, 8245423.17616414), (194135.2754441591, 8245683.35591491), (194233.41932644852, 8246007.83906283), (194554.11831187282, 8246260.806710428), (195076.7174166577, 8246376.524936898), (195460.20772342815, 8246460.08967344), (196180.25227082026, 8246987.659851399), (196408.65766616026, 8247240.414471188), (197078.13363685273, 8247294.190787372), (197743.6739828502, 8247250.059487214), (198094.49743470957, 8247255.888379939), (198682.2423135317, 8247674.973165087), (198933.82780638683, 8247920.757075277), (199310.93975304306, 8248287.963422853), (199521.22599708216, 8248639.073873356), (199513.49712263636, 8248952.484279242), (199434.33011617302, 8249246.902477086), (199531.9499234248, 8249765.371365162), (199940.1179282623, 8250143.571849004), (200645.964806356, 8250818.936178273), (201865.58619388548, 8251766.60307277), (202438.4382179837, 8252838.548578775), (202336.07944806217, 8253167.366014072), (202336.49739637814, 8253169.592555662), (202189.10976062034, 8253424.370089647), (202176.31036082783, 8253636.522103045), (202184.3689638368, 8253752.377522115), (202191.59705624887, 8253918.406320018), (202186.7366724975, 8254190.545115881), (202119.55955829547, 8255054.343767793), (202045.95874263713, 8255525.451532738), (202026.18773100228, 8255661.328853011), (201525.5071962654, 8255354.906054546), (201192.67654007446, 8255142.432494853), (200817.68417763343, 8254726.716363162), (200646.35869982635, 8255167.976454443), (201112.5033392326, 8255301.064192091), (201417.0725668962, 8255301.438844653), (201581.4991320543, 8255347.020119835), (201596.72351826477, 8255356.97045415), (201871.59102026545, 8255652.943334242)]"
0.946_IDA,"[(173993.94907628946, 8251128.839942831), (174107.65605389673, 8251432.09433435), (174116.17597242852, 8251441.092286825), (174379.9281162654, 8251445.619410208), (174393.2566027757, 8251434.544177299), (174587.02953006, 8251430.424210414), (175098.34500697633, 8251451.206489245), (175110.2152914307, 8251440.361179662), (175339.74327774727, 8251442.243471404), (175366.89660626178, 8251451.654878175), (175469.38317383511, 8251455.164020713), (175494.94264691387, 8251468.298531885), (175853.6739828022, 8251535.686401467), (175869.1186339852, 8251529.015304631), (176044.72476973984, 8251568.411973741), (176127.0822687353, 8251459.757373454), (176117.78681620854, 8251417.204322557), (176139.95992550935, 8251135.90526258), (176249.10437017033, 8251125.709466599), (176272.41530153318, 8251137.446563412), (176593.8390540392, 8251127.749108141), (176808.95849930256, 8250855.466917104), (176789.8337715113, 8250826.243542346), (176658.59098994668, 8250503.79237121), (176646.677027409, 8250513.793739314), (176216.24899290194, 8250510.990708336), (176182.35837421002, 8250499.3809354985), (176165.7107141149, 8250499.476758412), (175759.66800371147, 8250507.045101347), (175759.5041826668, 8250495.745261955), (175253.51057350292, 8250490.382772238), (175230.09280940294, 8250503.145387107), (174959.25928041368, 8250489.213164929), (174949.1111764977, 8250498.683038977), (174514.22417791525, 8250482.374720148), (174484.63221954973, 8250497.114956465), (174026.7547318237, 8250495.578308379), (174155.06199433038, 8249865.845800122), (174295.57417521742, 8249859.231288999), (174458.398926317, 8249860.330888967), (174871.0156524855, 8249862.457705461), (175178.55703824232, 8249877.805330578), (175181.89007807933, 8249862.082522383), (175467.72960792098, 8249867.9086734075), (175469.8626967095, 8249878.809008061), (175691.2093637164, 8249882.161208842), (175703.39813070506, 8249871.021194238), (175798.91249080782, 8249876.665769615), (176162.24048254572, 8249871.065580845), (176237.3867451794, 8249886.39188679), (176425.92230051028, 8249835.381221201), (176775.18533139775, 8249225.649517635), (176899.68221376045, 8249229.272390559), (176901.61162536338, 8249138.43382699), (177313.82707729892, 8249104.733651691), (177322.6287655721, 8249090.873710061), (177206.40437845653, 8248998.697885699), (177691.56824776824, 8249067.441492001), (177862.23087342991, 8249126.941739344), (179337.55889603397, 8249647.600470212), (179905.5561135404, 8249571.627654727), (180261.219828193, 8249528.746669898), (182193.92558476617, 8250083.212783394), (183088.63560562345, 8249954.496132862), (186258.52351777864, 8247469.846344761), (187072.22658845445, 8247383.004141379), (187645.89030506217, 8247822.551024338), (187805.38706460723, 8247943.369788971), (187830.0125355677, 8247962.390310183), (187853.93926800237, 8247980.250713098), (188216.26218335005, 8248260.679853225), (188378.9354893385, 8248383.499398395), (188402.48035636186, 8248401.917040994), (188425.95554958069, 8248419.445396715), (188789.02779485492, 8248700.512352758), (188953.02908288717, 8248825.839415364), (188969.94882713517, 8248838.654640195), (188989.63155047703, 8248853.86574664), (189360.7360385759, 8249141.672259031), (189521.27218557178, 8249273.179741239), (189541.14006917196, 8249288.773466739), (189563.04693415278, 8249307.487484518), (189901.5445094383, 8249626.448272564), (190050.59498359475, 8249779.276529618), (190066.40462629267, 8249795.898903272), (190401.226520792, 8250185.335211844), (190518.9790252414, 8250324.684232738), (190538.2370255322, 8250347.971060442), (190556.8727935207, 8250370.860138321), (190845.54068315975, 8250787.819562267)]"
0.373_IDA,"[(162532.11422302714, 8241107.6575780185), (163384.63657956343, 8240720.960818381), (163146.07051328826, 8240606.189003485), (162960.6916115962, 8240513.31701702), (162798.69560384785, 8240281.166666149), (162943.46488045936, 8239948.18227561), (162961.7976173921, 8239941.388584736), (162931.576392429, 8240012.39598071), (162809.6456533803, 8240292.165881024), (162809.3926658656, 8240293.018412013), (162983.37713683548, 8240465.1775045665), (163181.82745526725, 8240564.401603981), (163181.9638349571, 8240564.532467227), (163407.15642689675, 8240674.582313285), (163666.26802272594, 8240654.486875939), (163760.04556185007, 8240463.3603930315), (163853.27379318036, 8240276.3907550275), (163851.6711267677, 8240274.604807116), (164257.93388010806, 8240312.301142921), (164644.0874541013, 8240505.7144842595), (164967.40311243595, 8240892.88802404), (164967.8839885745, 8240893.869066957), (164804.89440747252, 8241120.332440093), (164828.29835511546, 8241380.418669081), (165173.97843858652, 8241553.090934635), (165545.7672779808, 8241735.657710896), (165982.83519079065, 8241951.741703777), (166158.1416351375, 8242037.373631473), (166469.02115703252, 8242189.397905233), (166844.5927689012, 8242277.446266762), (167302.02795797779, 8242436.736181511), (167543.700588078, 8242571.531388712), (167711.34539777983, 8242781.318366829), (167974.3661591155, 8243128.910832122), (168156.47062921966, 8243270.355833443), (168532.68410328473, 8243455.0375761865), (168983.51849012845, 8243676.26267), (169246.7405181541, 8243811.34379576), (169432.21837619122, 8243953.357423923), (169663.22382979718, 8244142.166819119), (170012.55895493884, 8244388.042891935), (170292.98552428017, 8244524.848016619), (170563.86834073224, 8244659.556241067), (170834.33169382997, 8244794.725627945), (171097.5632261819, 8244533.460076932), (171401.34637852147, 8244209.506431403), (171869.14308379608, 8244157.322884554), (172657.00284659216, 8243502.098986583), (172619.6091084564, 8243146.513895463), (172334.82525494252, 8242574.909746706), (174471.30215857035, 8242566.020413943), (178942.04751602706, 8242345.131451423), (182433.86741592022, 8243577.473177643), (182855.29332448347, 8243812.159147771), (183426.52730303697, 8244549.065167186), (183496.51589736817, 8245069.230620267), (184907.94021742448, 8246017.598657041), (186936.62651219548, 8245967.986220076), (187236.31073571387, 8246070.944026135), (187110.2647808053, 8246459.027582086), (187072.22658845445, 8247383.004141379), (187645.89030506217, 8247822.551024338), (187805.38706460723, 8247943.369788971), (187830.0125355677, 8247962.390310183), (187853.93926800237, 8247980.250713098), (188216.26218335005, 8248260.679853225), (188378.9354893385, 8248383.499398395), (188402.48035636186, 8248401.917040994), (188425.95554958069, 8248419.445396715), (188789.02779485492, 8248700.512352758), (188953.02908288717, 8248825.839415364), (188969.94882713517, 8248838.654640195), (188989.63155047703, 8248853.86574664), (189360.7360385759, 8249141.672259031), (189521.27218557178, 8249273.179741239), (189541.14006917196, 8249288.773466739), (189563.04693415278, 8249307.487484518), (189901.5445094383, 8249626.448272564), (190050.59498359475, 8249779.276529618), (190066.40462629267, 8249795.898903272), (190401.226520792, 8250185.335211844), (190518.9790252414, 8250324.684232738), (190538.2370255322, 8250347.971060442), (190556.8727935207, 8250370.860138321), (190845.54068315975, 8250787.819562267)]"
503.3_IDA,"[(201402.28231124312, 8267949.419415804), (201229.53331217403, 8268292.703902614), (201104.3021705299, 8268269.5049205795), (200830.40535502008, 8268324.5249680225), (200219.9973629405, 8268437.572939186), (199866.3500796497, 8268503.22052278), (199474.46091659568, 8268258.190953269), (199196.43893176125, 8268124.494069352), (198204.22173082893, 8268607.208595097), (197864.0500603774, 8268702.759512003), (197613.77130715037, 8268826.563826103), (197857.56550875976, 8268655.642218975), (197702.01126055472, 8268325.323571558), (197607.5328319405, 8268233.023276775), (197432.2310244182, 8268154.630844015), (197259.58259469853, 8268113.044005547), (197101.18631738186, 8268318.8932168465), (197028.63976860384, 8268450.844018411), (196909.57914357854, 8268643.087068576), (196974.80288516177, 8268732.833254167), (197092.49372480455, 8268798.152756485), (197363.07905043132, 8268991.964809651), (197474.67512756522, 8269031.872853601), (197504.11853750137, 8269097.169664663), (197266.0152384115, 8269469.488458981), (196901.8440979605, 8269537.71662176), (196432.7257558721, 8269294.937557444), (196219.90614042478, 8269230.9176547), (195803.66164291953, 8269137.6672715135), (195265.09445338213, 8269016.4823915735), (194813.4324813083, 8269047.426833618), (194702.73898768908, 8269063.367034834), (194646.2573138117, 8269076.452562561), (194559.26601789222, 8268544.750002063), (194836.31503656862, 8267611.293653052), (194817.54400424915, 8267030.373925553), (194962.09950898748, 8266743.379491164), (195264.67680908763, 8266091.615867186), (195473.45525085158, 8265754.175590543), (195460.31851924193, 8265219.653786594), (194475.75020257273, 8264340.4974735845), (193702.82300805353, 8263718.071726772), (192374.46986306232, 8262923.356036427), (189095.56619191405, 8260728.656689658), (187373.21406645747, 8257680.279833706), (187274.57271029797, 8257512.215963679), (186810.96564075304, 8256722.160427009), (186701.29185727477, 8256536.671681629), (186507.6384902102, 8256201.150820269), (185555.1334603469, 8255776.690378474), (185532.67435009335, 8255741.342062824), (185713.63316131552, 8255680.301937306), (185639.34447317885, 8255347.647875722), (185589.01677347312, 8255178.60420351), (185499.24713522784, 8254891.528305058), (185443.02134988055, 8254706.488038458), (185351.3643863586, 8254422.801035135), (184928.61520752904, 8252952.749340742), (184562.52581294428, 8251749.334380913), (184283.13512499369, 8251431.675605116), (184031.82080856396, 8251424.736231293), (183925.69384795544, 8251073.044709658), (183845.98543090094, 8250727.564081748), (183847.93429665928, 8250725.923241409), (183814.18179609498, 8250475.951208207), (183631.24571164115, 8250440.573549521), (183209.18060432386, 8250501.612653415), (182565.64974978525, 8250591.728903388), (182150.41906600277, 8250650.535612281), (181749.6715966999, 8250708.591251727), (182343.70548694782, 8250343.465378113), (182746.1792897305, 8250285.652385459), (183993.26651392577, 8249163.661297721), (183341.69160720985, 8248744.194178953), (183281.49905324256, 8248326.53817584), (183234.89598120502, 8247963.529384485), (183717.4670244973, 8247429.014406922), (183713.3788314619, 8247393.282501411), (184686.42106035835, 8247342.211965722), (185092.4899532849, 8247004.779541624)]"
531.1_VOLTA,"[(201402.28231124312, 8267949.419415804), (201130.76538079558, 8267829.663434813), (200086.6082651356, 8267953.37167911), (199946.56244108448, 8267981.110814299), (199789.566093367, 8268009.486615753), (199519.52977395448, 8268062.16917173), (199196.43893176125, 8268124.494069352), (198204.22173082893, 8268607.208595097), (197864.0500603774, 8268702.759512003), (197613.77130715037, 8268826.563826103), (197857.56550875976, 8268655.642218975), (197702.01126055472, 8268325.323571558), (197607.5328319405, 8268233.023276775), (197432.2310244182, 8268154.630844015), (197259.58259469853, 8268113.044005547), (197101.18631738186, 8268318.8932168465), (197028.63976860384, 8268450.844018411), (196909.57914357854, 8268643.087068576), (196974.80288516177, 8268732.833254167), (196974.08117293008, 8268747.700001868), (197092.49372480455, 8268798.152756485), (197363.07905043132, 8268991.964809651), (197474.67512756522, 8269031.872853601), (197504.11853750137, 8269097.169664663), (197266.0152384115, 8269469.488458981), (196901.8440979605, 8269537.71662176), (196432.7257558721, 8269294.937557444), (196219.90614042478, 8269230.9176547), (195803.66164291953, 8269137.6672715135), (195265.09445338213, 8269016.4823915735), (194813.4324813083, 8269047.426833618), (194702.73898768908, 8269063.367034834), (194646.2573138117, 8269076.452562561), (194356.34973187756, 8269128.546114256), (193694.5075708875, 8269693.1846121745), (192235.97136973974, 8271863.227227227), (192312.87826930732, 8272684.515073958), (192077.81884433434, 8273022.886439222), (191799.19412271873, 8273404.247926465), (191725.76775685622, 8273790.347820372), (191052.31262721587, 8274269.371817974), (192377.95173824107, 8274376.907028361), (192873.64892470386, 8274654.823656176), (193153.867451793, 8274755.287062843), (193964.6695036022, 8275589.58485887)]"
531.1_IDA,"[(193906.1291227289, 8275539.5304851215), (193133.95210993796, 8274766.6624696385), (192803.26340307953, 8274641.177403119), (192266.55596361932, 8274342.632536204), (191052.31262721587, 8274269.371817974), (191821.53091139375, 8273348.304858537), (192089.75705081242, 8272962.040582688), (192328.99788622867, 8272538.864393672), (193679.7327096127, 8269675.982534477), (194492.6297247656, 8269068.4852992045), (195345.1584579366, 8268996.934607172), (195792.6596556079, 8269101.682523987), (196181.3799744029, 8269187.679241244), (196571.75206220424, 8269317.261251494), (196884.7780980831, 8269479.320577666), (197308.8204816868, 8269379.043909146), (197352.46081921097, 8269007.752526414), (197092.49372480455, 8268798.152756485), (197075.89869081922, 8268807.984332423), (196974.08117293008, 8268747.700001868), (196974.80288516177, 8268732.833254167), (196909.57914357854, 8268643.087068576), (196901.08473695134, 8268626.30992497), (197189.76482016227, 8268175.061623087), (197259.58259469853, 8268113.044005547), (197357.1362145475, 8268118.482692416), (197432.2310244182, 8268154.630844015), (197607.5328319405, 8268233.023276775), (197702.01126055472, 8268325.323571558), (197875.68225299806, 8268583.935275061), (199813.77859444413, 8267984.6337991385), (200680.33404651016, 8267820.4284322085), (200982.6240520842, 8267763.248034056)]"
396.2_VOLTA,"[(188739.5290032365, 8258122.98075948), (189285.61650584632, 8257858.764298311), (189406.00966588032, 8257490.907248838), (189510.99294595528, 8257168.520470135), (189629.4939881902, 8256805.2914250465), (189734.96094241293, 8256481.893770757), (189851.29972286883, 8256124.173616398), (189957.58434905877, 8255797.271529938), (190076.22523004655, 8255434.331641055), (190179.6754340932, 8255115.173147885), (190297.81348333115, 8254751.666301979), (190377.06409137356, 8254464.735386114), (190447.44960968898, 8254183.485237617), (190506.04257028562, 8253843.892649552), (190547.71457660716, 8253513.445100055), (190575.77520444727, 8253170.847098725), (190570.83115485572, 8252698.3407064015), (190209.03241758925, 8251451.811272773), (190203.15804864164, 8251437.2209516885), (190197.09121462246, 8251423.571132461), (190103.27121586722, 8251235.463615115), (189970.11342233696, 8251029.63035072), (189644.98434749688, 8250625.3057868285), (189212.53851062065, 8250159.52345088), (188725.73440261654, 8249740.437633227), (188409.70275934873, 8249496.473861199), (188157.94256196212, 8249303.370406082), (187931.8346133458, 8249129.994791511), (187620.26233633162, 8248890.693980674), (187341.49559256263, 8248677.156034567), (187057.0262696956, 8248458.447896175), (186766.06940547808, 8248234.977890616), (186495.95887555182, 8248027.685981722), (186352.9435413813, 8247916.672292099), (185440.1407478593, 8248742.323268768), (185354.74787101735, 8249133.96126139), (183993.26651392577, 8249163.661297721), (183833.0758140156, 8248147.478349342), (183415.45866036508, 8245055.583311323), (183338.61290390242, 8244588.7239051275), (180824.56833699017, 8242760.547698428), (179608.3399820652, 8242467.507273224), (177836.0863683097, 8242279.173103978), (177010.72857472504, 8242285.640347289), (172421.7784901507, 8242621.478127198), (172267.71130482055, 8242996.372078949), (171553.50701368693, 8242871.359414223), (171238.3594544995, 8242768.1933957), (170917.94265585014, 8242660.19391011), (170917.87213457265, 8242657.8848644495), (170447.9202525281, 8242505.619722737), (169842.2410789898, 8242305.4416670045), (169636.2816397602, 8242284.41819651), (169029.22179985757, 8242117.550859027), (168766.0881521628, 8241952.213454703), (168448.04949582682, 8241765.782859517), (168265.70823393093, 8241621.117381339), (168040.60242923524, 8241459.506949741), (167874.78541734233, 8241375.469966009), (167570.01525445865, 8241227.052141832), (167321.9382338674, 8241105.722990788), (167024.71538171463, 8240911.264337678), (166830.13151144393, 8240793.362915204), (166162.2787651837, 8240458.18413458), (165740.8512594137, 8240247.846086671), (165512.3395550797, 8240134.119270575), (165011.7699855303, 8239886.73700902)]"
0.851_IDA,"[(165052.96364968148, 8239621.733858079), (165127.34382751392, 8239886.740803432), (165129.38977686956, 8239887.529542211), (165129.38977686956, 8239887.529542211), (165519.50935198984, 8240080.501787133), (165702.87688688457, 8240171.832242391), (165926.5985071599, 8240281.571197176), (166181.77132955397, 8240408.340202328), (166378.5962596389, 8240510.260733958), (166785.07718075236, 8240705.967169108), (167024.4150224111, 8240845.66731508), (167394.41227937845, 8241078.037071037), (167394.72657917807, 8241079.265877243), (167573.2176931483, 8241167.464064669), (167969.01554105157, 8241361.37820304), (168176.57835924788, 8241485.634893491), (168469.4342046794, 8241710.259554645), (168737.0888006378, 8241884.1189426035), (168740.24621014786, 8241885.756045504), (169046.70152385905, 8242062.295537735), (169638.00858346588, 8242232.169984236), (169857.87434913928, 8242255.867789568), (169857.30404472206, 8242257.901630924), (170169.4554514562, 8242358.642560766), (170401.07404821354, 8242434.899509572), (170958.14202465338, 8242618.79168801), (171257.94782940444, 8242718.225146533), (172334.82525494252, 8242574.909746706), (174471.30215857035, 8242566.020413943), (178942.04751602706, 8242345.131451423), (182433.86741592022, 8243577.473177643), (182855.29332448347, 8243812.159147771), (183426.52730303697, 8244549.065167186), (183496.51589736817, 8245069.230620267), (184907.94021742448, 8246017.598657041), (186936.62651219548, 8245967.986220076), (187236.31073571387, 8246070.944026135), (187110.2647808053, 8246459.027582086), (187091.47953312186, 8246590.422577987), (187400.19606091466, 8246831.168458769), (187777.22917684593, 8247115.554698113), (188073.43749400997, 8247336.845239667), (188354.7380520248, 8247551.240781297), (188639.11304470076, 8247769.710370496), (189266.87700830537, 8248252.092649306), (189493.77450446098, 8248425.952241242), (189832.4585697588, 8248691.433567453), (190151.57857738528, 8248968.868507466), (190432.6087918833, 8249243.203872055), (190651.28187287977, 8249478.339037623), (191537.4200466294, 8250539.953993252), (191782.17526011408, 8250931.780813519), (192248.2845967843, 8251280.160657467), (192427.09647584136, 8251224.526916704), (192605.1303469413, 8251169.302328822), (192968.6177473792, 8251056.569322089), (193331.159927079, 8250944.680728183), (193340.70140134258, 8251203.0360055445), (192840.79309214067, 8251354.468923285), (192826.62123922948, 8251359.617863402), (192758.899172997, 8251381.6304217195), (192583.00070161888, 8251436.890946462), (192407.8407635204, 8251490.975880374), (192226.9469500958, 8251545.729403277), (192043.62736370438, 8251602.818367711), (191973.38287899268, 8251725.013153955), (192074.97714827166, 8253309.620867769), (192035.25653965323, 8253732.524981021), (191971.98681854992, 8254202.893147049), (192368.06408363255, 8254771.573265792), (192515.5363163015, 8254793.858828136), (192745.17666643878, 8254728.27801632), (192881.21179433438, 8254924.721698053), (192940.55277804958, 8255291.051026197), (192814.6176435906, 8255463.101373943), (192389.6594028919, 8255522.42894769), (192037.60415580147, 8255418.025951248), (191713.29462339863, 8255244.567091999), (191616.41593697545, 8255553.043078507), (191517.2354257574, 8255857.108656954), (191427.53389145216, 8256133.122350809), (191331.56084263817, 8256427.266792605), (191206.14437761452, 8256815.00218799), (190870.8127603947, 8257840.751985981), (190768.8575633553, 8258154.902378581), (189474.29779440613, 8258348.807317869), (189425.78784787795, 8258285.752248226), (188527.5841133911, 8258097.535925634)]"
