Linha,Sentido,Paradas
0.126,CIRCULAR,"[[(204610.1334040499, 8238904.118332542), 4417], [(203671.46793356806, 8239905.793628799), 4408], [(204081.52177244326, 8238838.235741503), 4445], [(204408.49042603705, 8238559.0635735765), 4443], [(204674.43404714845, 8238203.336498561), 7807], [(204960.6042105148, 8236909.1038010605), 7809], [(205406.29786800005, 8236292.483338014), 6824], [(204531.9571746855, 8235938.2688191915), 6826], [(203566.0144091217, 8235682.685541588), 4516], [(201213.3608254384, 8235049.423314261), 4501], [(200934.1188371235, 8234650.050874718), 4520], [(200563.51979919028, 8233868.990934797), 4521], [(200689.58684922918, 8233475.901049979), 4522], [(201078.68807927117, 8233234.228892606), 4524], [(200395.68047291093, 8235396.594569101), 4519], [(197664.1248693554, 8235986.456763265), 4529], [(204146.15781786246, 8235818.225257163), 4502], [(203579.70332990907, 8239213.733514023), 6827], [(202947.06063116575, 8239687.989137076), 4447], [(202661.12559192994, 8239900.610849624), 4448]]"
0.175,VOLTA,"[[(188739.5290032365, 8258122.98075948), 6287], [(189285.61650584632, 8257858.764298311), 3523], [(189406.00966588032, 8257490.907248838), 3524], [(189510.99294595528, 8257168.520470135), 3525], [(189629.4939881902, 8256805.2914250465), 3526], [(189734.96094241293, 8256481.893770757), 3527], [(189851.29972286883, 8256124.173616398), 3528], [(189957.58434905877, 8255797.271529938), 3529], [(190076.22523004655, 8255434.331641055), 3530], [(190179.6754340932, 8255115.173147885), 3531], [(190297.81348333115, 8254751.666301979), 3532], [(190506.04257028562, 8253843.892649552), 3535], [(190547.71457660716, 8253513.445100055), 3536], [(190575.77520444727, 8253170.847098725), 3537], [(190570.83115485572, 8252698.3407064015), 3538], [(190209.03241758925, 8251451.811272773), 3542], [(189644.98434749688, 8250625.3057868285), 3549], [(189212.53851062065, 8250159.52345088), 3550], [(188725.73440261654, 8249740.437633227), 3551], [(188409.70275934873, 8249496.473861199), 3552], [(188157.94256196212, 8249303.370406082), 3553], [(187931.8346133458, 8249129.994791511), 3554], [(187620.26233633162, 8248890.693980674), 3555], [(187341.49559256263, 8248677.156034567), 3556], [(187057.0262696956, 8248458.447896175), 3557], [(186766.06940547808, 8248234.977890616), 3558], [(186495.95887555182, 8248027.685981722), 3559], [(186258.52351777864, 8247469.846344761), 3681], [(184909.3438694522, 8246151.048286001), 3674], [(183415.45866036508, 8245055.583311323), 2083], [(183338.61290390242, 8244588.7239051275), 2085], [(180824.56833699017, 8242760.547698428), 6062], [(179608.3399820652, 8242467.507273224), 6064], [(177836.0863683097, 8242279.173103978), 6069], [(178659.03646109236, 8242142.096728635), 6070], [(178163.9019875701, 8242009.823545145), 3976], [(177762.26217154518, 8241963.5316982195), 3977], [(177376.70814896992, 8241884.881592156), 3978], [(177061.638441473, 8241747.669463683), 3979], [(176456.44938962022, 8241364.097562145), 3982]]"
0.811,VOLTA,"[[(188739.5290032365, 8258122.98075948), 6287], [(189285.61650584632, 8257858.764298311), 3523], [(189406.00966588032, 8257490.907248838), 3524], [(189510.99294595528, 8257168.520470135), 3525], [(189629.4939881902, 8256805.2914250465), 3526], [(189734.96094241293, 8256481.893770757), 3527], [(189851.29972286883, 8256124.173616398), 3528], [(189957.58434905877, 8255797.271529938), 3529], [(190076.22523004655, 8255434.331641055), 3530], [(190179.6754340932, 8255115.173147885), 3531], [(190297.81348333115, 8254751.666301979), 3532], [(190506.04257028562, 8253843.892649552), 3535], [(190547.71457660716, 8253513.445100055), 3536], [(190575.77520444727, 8253170.847098725), 3537], [(190570.83115485572, 8252698.3407064015), 3538], [(190209.03241758925, 8251451.811272773), 3542], [(189644.98434749688, 8250625.3057868285), 3549], [(189212.53851062065, 8250159.52345088), 3550], [(188725.73440261654, 8249740.437633227), 3551], [(188409.70275934873, 8249496.473861199), 3552], [(188157.94256196212, 8249303.370406082), 3553], [(187931.8346133458, 8249129.994791511), 3554], [(187620.26233633162, 8248890.693980674), 3555], [(187341.49559256263, 8248677.156034567), 3556], [(187057.0262696956, 8248458.447896175), 3557], [(186766.06940547808, 8248234.977890616), 3558], [(186495.95887555182, 8248027.685981722), 3559], [(185440.1407478593, 8248742.323268768), 3676], [(185354.74787101735, 8249133.96126139), 3677], [(183993.26651392577, 8249163.661297721), 3668], [(183907.5953975221, 8248583.433949421), 3669], [(183717.4670244973, 8247429.014406922), 3671], [(183415.45866036508, 8245055.583311323), 2083], [(180824.56833699017, 8242760.547698428), 6062], [(179608.3399820652, 8242467.507273224), 6064], [(178784.2406667385, 8242380.171915398), 6066], [(177836.0863683097, 8242279.173103978), 6069], [(173173.04379113083, 8240827.6545059), 3984], [(173494.22675227706, 8240577.212493688), 3985], [(173757.09774551349, 8239670.290024673), 3988], [(173849.49709113996, 8239373.735282246), 3990], [(173505.51774370536, 8238759.451746432), 3993], [(173562.61220436898, 8238405.998279014), 3994], [(173676.16418232204, 8238041.884906964), 3995], [(173958.9135411128, 8237138.575882244), 3998], [(174465.61337243428, 8236132.04576018), 7903], [(174481.36026767234, 8235728.487621414), 6869], [(174586.56542199984, 8235449.406657828), 6868], [(174710.60071553424, 8235116.567732729), 6867], [(174925.56020981126, 8234715.26207543), 6873], [(175123.8755961181, 8234484.172172758), 6872]]"
0.953,VOLTA,"[[(188739.5290032365, 8258122.98075948), 6287], [(189285.61650584632, 8257858.764298311), 3523], [(189406.00966588032, 8257490.907248838), 3524], [(189510.99294595528, 8257168.520470135), 3525], [(189629.4939881902, 8256805.2914250465), 3526], [(189734.96094241293, 8256481.893770757), 3527], [(189851.29972286883, 8256124.173616398), 3528], [(189957.58434905877, 8255797.271529938), 3529], [(190076.22523004655, 8255434.331641055), 3530], [(190179.6754340932, 8255115.173147885), 3531], [(190297.81348333115, 8254751.666301979), 3532], [(190506.04257028562, 8253843.892649552), 3535], [(190547.71457660716, 8253513.445100055), 3536], [(190575.77520444727, 8253170.847098725), 3537], [(190570.83115485572, 8252698.3407064015), 3538], [(190209.03241758925, 8251451.811272773), 3542], [(189644.98434749688, 8250625.3057868285), 3549], [(189212.53851062065, 8250159.52345088), 3550], [(188725.73440261654, 8249740.437633227), 3551], [(188409.70275934873, 8249496.473861199), 3552], [(188157.94256196212, 8249303.370406082), 3553], [(187931.8346133458, 8249129.994791511), 3554], [(187620.26233633162, 8248890.693980674), 3555], [(187341.49559256263, 8248677.156034567), 3556], [(187057.0262696956, 8248458.447896175), 3557], [(186766.06940547808, 8248234.977890616), 3558], [(186495.95887555182, 8248027.685981722), 3559], [(185440.1407478593, 8248742.323268768), 3676], [(185354.74787101735, 8249133.96126139), 3677], [(183520.49170357655, 8249970.940593015), 2240], [(183130.29750840963, 8250027.892468717), 2242], [(182721.437610183, 8250083.629464138), 2244], [(182269.10892409456, 8250146.093032495), 2245], [(181038.45159280984, 8249777.64769091), 2247], [(180182.32306239873, 8249656.217044954), 2243], [(179885.86448762275, 8249697.878108957), 2248], [(179264.86140553042, 8249748.616435824), 2250], [(177845.01067116205, 8249236.274307378), 4936], [(177595.4923429221, 8249143.616020971), 4937], [(177206.40437845653, 8248998.697885699), 4938], [(176901.61162536338, 8249138.43382699), 5255], [(175535.24324404972, 8249256.331599969), 7796], [(174389.79781073768, 8249427.096935503), 7789], [(174155.06199433038, 8249865.845800122), 5254], [(174871.0156524855, 8249862.457705461), 6896], [(175178.55703824232, 8249877.805330578), 5252], [(175467.72960792098, 8249867.9086734075), 5246], [(176162.24048254572, 8249871.065580845), 5248], [(176604.07647778993, 8250150.622996809), 6262], [(176658.59098994668, 8250503.79237121), 5281], [(176216.24899290194, 8250510.990708336), 5267], [(175759.66800371147, 8250507.045101347), 5268], [(175253.51057350292, 8250490.382772238), 5278], [(174959.25928041368, 8250489.213164929), 5277], [(174514.22417791525, 8250482.374720148), 5276], [(174026.7547318237, 8250495.578308379), 5272], [(176117.78681620854, 8251417.204322557), 5243], [(175494.94264691387, 8251468.298531885), 5230], [(174527.73380143128, 8251450.408062423), 6257], [(174116.17597242852, 8251441.092286825), 6256], [(173993.94907628946, 8251128.839942831), 6705]]"
0.638,VOLTA,"[[(215315.42020969075, 8271512.731610089), 3128], [(215261.19353762222, 8270868.721248363), 3123], [(215247.0988706941, 8270455.999560246), 3124], [(215818.70613777597, 8268602.899242995), 2739], [(215921.77893755832, 8267612.49696331), 2744], [(215962.2242412964, 8267255.650015487), 2745], [(216155.04139104363, 8266763.9573264), 2763], [(216512.67394577735, 8265810.843766617), 2747], [(216019.46179943136, 8264839.992366851), 2824], [(215796.27282132785, 8264383.988617414), 7783], [(215600.81516008027, 8263350.45067331), 2769], [(214913.55907293654, 8259664.858544187), 2770], [(214479.39518597123, 8257388.431121288), 2771], [(215244.01163984108, 8255616.057853963), 2773], [(216417.5510262538, 8253535.790996754), 2775], [(216803.388978737, 8252841.572496203), 2776], [(217040.77170636033, 8252211.636165858), 6403], [(217233.4364740299, 8251540.971052075), 2778], [(217391.70107154327, 8251021.202433133), 6404], [(217510.57008646042, 8250582.527347526), 6405], [(217691.51901167142, 8250022.304960013), 2812], [(217796.365421005, 8249595.908330761), 2780], [(218077.18857761193, 8248625.712519721), 2782], [(218609.69361280737, 8246793.061682704), 2808], [(219337.42071006203, 8244343.102334285), 2805], [(219422.00392049592, 8243984.56011089), 2786], [(219919.43333883007, 8242265.38117905), 2788], [(220203.81217306177, 8241356.763435025), 2801], [(220699.70787953777, 8239575.634394743), 2792], [(220894.35576796942, 8238904.601474475), 6415], [(221083.72362430082, 8238248.508046984), 2793], [(221188.10294721732, 8237892.316954482), 6407], [(221291.98934132716, 8237531.113035883), 6408], [(221410.0544112526, 8237127.727976099), 2794], [(221563.47973120824, 8236595.466412411), 2796], [(215135.80223860667, 8233359.300363246), 6839], [(221225.52920282143, 8235629.795441691), 4506], [(221821.25927849713, 8235925.648606444), 6294], [(222477.7316897139, 8236068.996902789), 6293], [(223059.53725001233, 8236194.7125054505), 6295], [(223445.8821075788, 8236279.607062854), 6296], [(223781.83333855373, 8236352.522371292), 6298], [(224548.32245530386, 8236522.943521917), 6418], [(226441.81695047606, 8236937.847081934), 6420], [(230223.55281719664, 8237829.560021814), 2690], [(230596.8847678646, 8238773.382612886), 2691], [(230775.57364663878, 8239492.826205671), 6425], [(229293.40173217608, 8237582.294714375), 6421], [(226433.94478100142, 8233531.7795442315), 2688], [(226421.25902271486, 8232818.719902247), 2686], [(226491.78941340116, 8228411.476548458), 2684], [(226939.9606251063, 8228443.936762543), 2917], [(245264.3746603298, 8226723.98786746), 2918], [(245467.8686742721, 8227764.190684897), 2919], [(245658.97281692165, 8228051.602872011), 2920], [(246414.04897187883, 8228841.775111362), 2921], [(246117.6027228471, 8229204.358413209), 2922], [(245774.24403063784, 8228835.61129417), 2923], [(245400.21057352072, 8228434.908295218), 2924]]"
100.9,VOLTA,"[[(186053.45980903215, 8247516.6907029245), 3683], [(186478.213095499, 8247963.161215253), 3565], [(186762.4411187402, 8248181.764508706), 3566], [(187048.12091666256, 8248401.114006185), 3567], [(187334.40064350402, 8248620.817511386), 3568], [(187619.6170199612, 8248839.826929897), 3569], [(187904.54815834181, 8249058.772262901), 3570], [(188192.48126662755, 8249279.0024988605), 3571], [(188477.3206616452, 8249498.020824533), 3572], [(188758.03647202376, 8249715.9946557), 3573], [(189247.77280362791, 8250136.059374602), 3574], [(189461.27315216162, 8250355.265685835), 3575], [(189678.27090739994, 8250601.4844608875), 3576], [(189902.2817381414, 8250871.52039122), 3577], [(190138.1618421196, 8251215.21962072), 3578], [(190614.56612201524, 8251752.935679532), 3267], [(192248.2845967843, 8251280.160657467), 3269], [(192968.6177473792, 8251056.569322089), 3272], [(193331.159927079, 8250944.680728183), 3273], [(194309.4637950105, 8250875.231044563), 3274], [(195017.21486398455, 8249953.177769543), 2442], [(196486.38575385814, 8249057.564965221), 2443], [(197263.56197022658, 8247706.0854176115), 2444], [(197743.6739828502, 8247250.059487214), 2386], [(198094.49743470957, 8247255.888379939), 2387], [(198682.2423135317, 8247674.973165087), 2388], [(198933.82780638683, 8247920.757075277), 2389], [(199310.93975304306, 8248287.963422853), 2390], [(199521.22599708216, 8248639.073873356), 2391], [(199513.49712263636, 8248952.484279242), 2392], [(199434.33011617302, 8249246.902477086), 2393], [(199531.9499234248, 8249765.371365162), 2394], [(199940.1179282623, 8250143.571849004), 2395], [(200645.964806356, 8250818.936178273), 2396], [(201865.58619388548, 8251766.60307277), 2350], [(202438.4382179837, 8252838.548578775), 2696], [(202665.82451506145, 8253987.568340007), 6400], [(202615.17929793708, 8255082.294707027), 6398], [(202463.9628497276, 8255881.411118288), 2873], [(203180.96799588169, 8256155.241549967), 2876], [(202044.45286819973, 8256486.597721538), 6275]]"
0.511,VOLTA,"[[(202062.1202021696, 8253497.89908535), 6134], [(202191.59705624887, 8253918.406320018), 2701], [(202119.55955829547, 8255054.343767793), 2705], [(202045.95874263713, 8255525.451532738), 2707], [(202180.2492689828, 8256142.881991966), 6276], [(202044.45286819973, 8256486.597721538), 6275], [(201734.5868393122, 8257290.502706911), 4730], [(201348.91237942775, 8258275.414741392), 4729], [(198401.95324134425, 8261347.742029422), 4737], [(197879.28063711245, 8261707.9045088785), 4738], [(197404.1520041793, 8262034.241250219), 4739], [(195866.25845888985, 8264032.410198877), 4746], [(196082.19555351083, 8264286.51081983), 4747], [(198246.33273415203, 8265557.205401793), 4750], [(199182.78782038312, 8266612.56206494), 4846], [(199240.76468478172, 8266922.35267963), 4847], [(199335.79296214844, 8267419.112995426), 4848], [(199487.99485398876, 8268213.3898342885), 4858], [(199681.19366273, 8268517.080600402), 4838], [(200157.25781222997, 8268427.756075161), 4839], [(200680.33404651016, 8267820.4284322085), 4832], [(200982.6240520842, 8267763.248034056), 4833], [(201773.56801000863, 8267979.951021172), 4925], [(202235.26649245748, 8268211.182054792), 4926], [(202557.17019322247, 8268377.6000208985), 4927], [(202873.3052904969, 8268273.789402058), 4931]]"
0.883,IDA,"[[(175304.00199967227, 8234328.36684113), 6355], [(175102.43609307474, 8234566.871223363), 6352], [(174905.6637350301, 8234799.3976682015), 6874], [(174591.6017924688, 8235541.063894207), 6353], [(174482.6832725457, 8235829.817836681), 6870], [(174066.36860135634, 8236925.164899789), 4000], [(173892.93635560508, 8237485.776596526), 4002], [(173785.87418520806, 8237827.999609915), 7898], [(173605.86797802063, 8238405.142332826), 4005], [(173552.112666213, 8238776.535278293), 4006], [(173932.80734261428, 8239223.346010743), 4008], [(173639.53730606363, 8240108.388266548), 4011], [(173207.11211837776, 8240847.412493674), 4015], [(172421.7784901507, 8242621.478127198), 4031], [(172707.54726062383, 8243192.377420536), 4035], [(172585.88464340294, 8243685.465371808), 4036], [(171154.9710903613, 8244559.298557567), 4039], [(170828.15653527936, 8245207.488075536), 4041], [(170239.68006612748, 8247528.219704096), 5153], [(169845.20615808948, 8248674.700241317), 5156], [(169627.26488617982, 8249269.105943744), 5158], [(169484.40436272364, 8249791.060906599), 5089], [(168699.0190743159, 8249545.4972434435), 5110], [(168280.91324930472, 8249333.293501657), 6883], [(167924.5568189979, 8249135.657345781), 1604], [(167513.94090545987, 8248902.459380739), 1605], [(167129.98229662742, 8248688.099414002), 1606], [(166704.54659891274, 8248449.063461264), 1607], [(166369.62132482906, 8248259.862841424), 1608], [(166145.55407218385, 8248524.950459893), 1515], [(166030.63741168551, 8248818.342065431), 1516], [(165922.8274291869, 8249099.87015806), 1517], [(165794.30449793843, 8249419.721513789), 1518], [(165460.34535363165, 8250235.488848757), 1521], [(165321.41245245066, 8250639.40643419), 1434], [(165205.88768906007, 8250938.475701724), 1435], [(165080.5134216387, 8251252.273005537), 1436], [(164861.8198004654, 8251815.598826805), 1438], [(164466.93127483974, 8252011.322099521), 1427]]"
396.3,VOLTA,"[[(188739.5290032365, 8258122.98075948), 6287], [(189285.61650584632, 8257858.764298311), 3523], [(189406.00966588032, 8257490.907248838), 3524], [(189510.99294595528, 8257168.520470135), 3525], [(189629.4939881902, 8256805.2914250465), 3526], [(189734.96094241293, 8256481.893770757), 3527], [(189851.29972286883, 8256124.173616398), 3528], [(189957.58434905877, 8255797.271529938), 3529], [(190076.22523004655, 8255434.331641055), 3530], [(190179.6754340932, 8255115.173147885), 3531], [(190297.81348333115, 8254751.666301979), 3532], [(190506.04257028562, 8253843.892649552), 3535], [(190547.71457660716, 8253513.445100055), 3536], [(190575.77520444727, 8253170.847098725), 3537], [(190570.83115485572, 8252698.3407064015), 3538], [(190209.03241758925, 8251451.811272773), 3542], [(189644.98434749688, 8250625.3057868285), 3549], [(189212.53851062065, 8250159.52345088), 3550], [(188725.73440261654, 8249740.437633227), 3551], [(188409.70275934873, 8249496.473861199), 3552], [(188157.94256196212, 8249303.370406082), 3553], [(187931.8346133458, 8249129.994791511), 3554], [(187620.26233633162, 8248890.693980674), 3555], [(187341.49559256263, 8248677.156034567), 3556], [(187057.0262696956, 8248458.447896175), 3557], [(186766.06940547808, 8248234.977890616), 3558], [(186495.95887555182, 8248027.685981722), 3559], [(185440.1407478593, 8248742.323268768), 3676], [(185354.74787101735, 8249133.96126139), 3677], [(183993.26651392577, 8249163.661297721), 3668], [(183833.0758140156, 8248147.478349342), 3670], [(183415.45866036508, 8245055.583311323), 2083], [(183338.61290390242, 8244588.7239051275), 2085], [(180824.56833699017, 8242760.547698428), 6062], [(179608.3399820652, 8242467.507273224), 6064], [(177836.0863683097, 8242279.173103978), 6069], [(177010.72857472504, 8242285.640347289), 1242], [(171911.17840881622, 8242370.975382436), 4094], [(171609.35942859453, 8242269.826691893), 4095], [(171352.0364987228, 8242186.548982728), 4096], [(170568.3817211457, 8241925.851435051), 4099], [(170008.43144640647, 8241740.706381882), 4101], [(169750.83137587458, 8241656.736086876), 4102], [(169196.43916992028, 8241474.8092007665), 4103], [(168927.07002864702, 8241379.94118133), 4104], [(168692.5770843816, 8241176.732758595), 4105], [(168459.9711626076, 8240954.488977908), 4106], [(168187.97969712038, 8240848.843436821), 4107], [(167734.5550021354, 8240810.417747361), 4109], [(167100.30381683534, 8240493.896518558), 4111], [(166840.27120849688, 8240366.580722059), 4112], [(166341.82245862746, 8240121.989582016), 7630], [(166027.92730201723, 8239975.388299032), 4114], [(165396.22284453484, 8239661.318873979), 4117]]"
156.7,IDA,"[[(180206.3910921387, 8248842.404211508), 2186], [(180521.544102126, 8248691.963291428), 2187], [(180638.808850357, 8248312.793887861), 2188], [(180848.3523918052, 8248130.207076178), 2111], [(180551.99353641988, 8247769.239669577), 2098], [(180610.42452444896, 8247401.8874893375), 2099], [(180818.709326964, 8247035.750960892), 2100], [(180985.23264522353, 8246609.4479064075), 2101], [(181341.26425852036, 8246385.973680711), 2102], [(181743.76114025575, 8246353.8398568), 2103], [(182105.63881516695, 8246471.504942639), 2104], [(182263.84344719804, 8246234.812689065), 2088], [(181515.41775971345, 8245817.440036892), 2090], [(180988.80254958806, 8245819.199239296), 2091], [(180721.25621154596, 8245964.730649936), 2092], [(180507.92482923897, 8246224.669032863), 2093], [(180318.05319550924, 8246579.128439737), 2094], [(180125.3374535929, 8246987.769016054), 2095], [(180013.57956512817, 8247463.051282716), 2096], [(180185.76839046562, 8247811.6141356295), 2097], [(180668.38890772534, 8249042.123135555), 2180], [(181112.26624336024, 8249694.214098757), 2255], [(182193.92558476617, 8250083.212783394), 2256], [(183088.63560562345, 8249954.496132862), 2258], [(185661.6861806999, 8249988.6232047705), 3713], [(186271.81214024406, 8250210.702254756), 3714], [(186608.81198457707, 8250407.756892949), 3715], [(187258.2873948814, 8250804.915682307), 3717], [(187581.76651813288, 8251008.617888079), 3718], [(187952.71876656773, 8251525.887085494), 3719], [(188103.16034872946, 8252030.295186966), 3720], [(188198.7949011252, 8252338.239557435), 3721], [(188447.8285650903, 8252466.319771483), 3262], [(190625.27193503163, 8252846.5954464935), 3505], [(190619.17208496187, 8253196.441279561), 3506], [(190585.00952220432, 8253553.594632948), 3507], [(190473.57809777986, 8254256.165194158), 3509], [(190322.66280183918, 8254809.044596968), 3511], [(190217.61899194724, 8255131.630785237), 3512], [(190103.35572551686, 8255484.904683626), 3513], [(189995.57942850498, 8255813.307955481), 3514], [(189876.18568335177, 8256181.438554192), 3515], [(189772.80780796942, 8256499.775844228), 3516], [(189651.87968091277, 8256865.893322604), 3517], [(189549.2737386107, 8257181.852199043), 3518], [(189423.7273241693, 8257570.028224368), 3519], [(189381.9833703522, 8258021.2960928595), 3520], [(188527.5841133911, 8258097.535925634), 6289]]"
0.956,CIRCULAR,"[[(161849.06869743133, 8249591.030158647), 1237], [(161502.12269079004, 8250867.543039295), 6996], [(161336.6938858167, 8251228.706017818), 1241], [(161590.38948492223, 8250422.947753993), 1239], [(162802.01526564843, 8249686.324702164), 1371], [(163315.50497529242, 8249841.006348928), 1373], [(164021.57244963292, 8250051.9918182315), 1379], [(164339.17993487563, 8249781.854817546), 1572], [(164561.10855749168, 8249207.322636974), 1574], [(164678.7329761097, 8248917.7620095555), 1575], [(164783.38212148083, 8248633.059718314), 1576], [(165386.78405433882, 8248163.018525976), 1579], [(165797.88769172475, 8248057.083330935), 1545], [(166434.68146012077, 8248243.55145258), 1598], [(166787.63357594036, 8248438.830602573), 1599], [(167121.25278159403, 8248628.567359627), 1600], [(167570.70406640423, 8248875.5959754605), 1601], [(167973.38038960562, 8249102.723645786), 1602], [(168402.7399665194, 8249341.570707957), 5086], [(169217.31393931631, 8249699.324035059), 5088], [(169907.8670455879, 8249939.712230459), 5090], [(170825.54281607995, 8250260.188197313), 5094], [(171181.21195811767, 8250383.860882785), 5095], [(171567.04638908323, 8250513.174571648), 5096], [(172286.8178115528, 8250765.3682929315), 5098], [(172888.09277065832, 8250547.586015297), 7757], [(173353.47542345995, 8250567.744165432), 7756], [(174389.79781073768, 8249427.096935503), 7789], [(175535.24324404972, 8249256.331599969), 7796], [(175904.79738952886, 8249012.171976092), 8088], [(176211.44673224713, 8248768.1716700075), 7795], [(177313.82707729892, 8249104.733651691), 5258], [(176901.61162536338, 8249138.43382699), 5255], [(175798.91249080782, 8249876.665769615), 7790], [(175178.55703824232, 8249877.805330578), 5252], [(174871.0156524855, 8249862.457705461), 6896], [(174458.398926317, 8249860.330888967), 5244], [(174484.63221954973, 8250497.114956465), 5271], [(174949.1111764977, 8250498.683038977), 5270], [(175230.09280940294, 8250503.145387107), 5269], [(175759.5041826668, 8250495.745261955), 5279], [(176165.7107141149, 8250499.476758412), 5280], [(176646.677027409, 8250513.793739314), 5266], [(176789.8337715113, 8250826.243542346), 5265], [(176601.1245764424, 8251143.401846781), 5240], [(176272.41530153318, 8251137.446563412), 5241], [(175494.94264691387, 8251468.298531885), 5230], [(174527.73380143128, 8251450.408062423), 6257], [(174116.17597242852, 8251441.092286825), 6256], [(173993.94907628946, 8251128.839942831), 6705], [(172694.38853213168, 8251256.026620022), 4954]]"
0.335,CIRCULAR,"[[(164248.41622186414, 8252014.863650273), 1412], [(163758.63713587148, 8251740.860899366), 1401], [(164021.57244963292, 8250051.9918182315), 1379], [(164339.17993487563, 8249781.854817546), 1572], [(164561.10855749168, 8249207.322636974), 1574], [(164678.7329761097, 8248917.7620095555), 1575], [(164783.38212148083, 8248633.059718314), 1576], [(165386.78405433882, 8248163.018525976), 1579], [(165797.88769172475, 8248057.083330935), 1545], [(166460.91425344057, 8247883.816565535), 1672], [(166836.54235776776, 8247389.347019076), 1674], [(167583.3741889589, 8246408.417765771), 1678], [(167791.44562171825, 8246099.773847772), 7572], [(168273.9982810286, 8246375.425678404), 7863], [(168773.60369073047, 8246586.27681718), 5207], [(169516.18134336057, 8246813.457809468), 7847], [(169939.195217536, 8246900.011591148), 5209], [(171404.94572179046, 8246742.039669225), 5211], [(172310.74669121916, 8247263.91736058), 5183], [(173706.65655646232, 8247362.750750337), 7038], [(174786.0242658942, 8247531.290333842), 7041], [(175430.15239154975, 8247894.2986675445), 7043], [(175838.2721836318, 8248154.648667809), 7045], [(176290.57739242545, 8248444.1028347695), 7047], [(177684.1378105105, 8249112.70491878), 7049], [(177972.9305191377, 8249227.137210564), 7051], [(178838.9117700191, 8249570.169502579), 7053], [(179249.94197877074, 8249694.259086038), 7055], [(179791.94093765572, 8249632.214294309), 7057], [(180176.38052138028, 8249583.134085926), 7059], [(181073.71489729354, 8249718.336169398), 7061], [(182296.48677353805, 8250112.565336465), 7064], [(183073.0388576617, 8250002.234086352), 7065], [(185661.6861806999, 8249988.6232047705), 3713], [(186271.81214024406, 8250210.702254756), 3714], [(186608.81198457707, 8250407.756892949), 3715], [(187258.2873948814, 8250804.915682307), 3717], [(187581.76651813288, 8251008.617888079), 3718], [(187952.71876656773, 8251525.887085494), 3719], [(188103.16034872946, 8252030.295186966), 3720], [(188198.7949011252, 8252338.239557435), 3721], [(188447.8285650903, 8252466.319771483), 3262], [(190209.03241758925, 8251451.811272773), 3542], [(189644.98434749688, 8250625.3057868285), 3549], [(189212.53851062065, 8250159.52345088), 3550], [(188725.73440261654, 8249740.437633227), 3551], [(188409.70275934873, 8249496.473861199), 3552], [(188157.94256196212, 8249303.370406082), 3553], [(187931.8346133458, 8249129.994791511), 3554], [(187620.26233633162, 8248890.693980674), 3555], [(187341.49559256263, 8248677.156034567), 3556], [(187057.0262696956, 8248458.447896175), 3557], [(186766.06940547808, 8248234.977890616), 3558], [(186495.95887555182, 8248027.685981722), 3559], [(185440.1407478593, 8248742.323268768), 3676], [(185354.74787101735, 8249133.96126139), 3677], [(174100.62114019663, 8247422.5465837335), 7040], [(170769.124456879, 8246922.282605333), 5210]]"
1001.0,IDA,"[[(219194.8748714617, 8284240.710573915), 6311], [(219057.0834037671, 8283838.061980544), 3060], [(219115.85839401145, 8282002.468653213), 3062], [(218546.0088167693, 8281394.306201418), 3063], [(216757.54526032624, 8279556.583062314), 3066], [(215771.88750110986, 8278538.286584661), 3067], [(215303.8951162601, 8278059.306783307), 3068], [(215015.1696722415, 8277760.436945071), 6310], [(214581.6807044564, 8277314.078284113), 3069], [(212806.18731786957, 8275491.514739534), 3070], [(212954.4328884877, 8273665.3090692675), 3038], [(212553.6889812834, 8273429.1136558205), 3039], [(212297.73012243496, 8273275.982769706), 3040], [(212038.12844524626, 8273123.9440401625), 3041], [(211108.07202031364, 8272572.311327059), 3042], [(210739.7464275497, 8272352.878050073), 3043], [(209956.86702172284, 8271891.864520598), 3017], [(208851.5487068019, 8271236.697223076), 3018], [(205512.53869643068, 8269283.559263669), 3020], [(204272.20831486466, 8268671.095054243), 6164], [(203914.935522242, 8268494.535402765), 4790], [(203464.96611402812, 8268273.886657878), 4791], [(202893.6756388966, 8267990.993814243), 4792], [(202487.76742592346, 8267793.400664886), 4793], [(201595.09438313768, 8267407.761071854), 4794], [(201229.69991175478, 8267205.520825903), 4795], [(200461.04360293993, 8266794.840964316), 4796], [(199963.9185797574, 8266549.114931036), 4797], [(199608.64018424822, 8266383.159752676), 4798], [(198154.6733928781, 8265608.274555073), 4799], [(194227.91580158583, 8263736.007498219), 6208], [(193727.1263208466, 8263693.655327152), 4648], [(189994.3074499948, 8257918.399212594), 3471], [(190095.61755751708, 8257604.519035723), 3472], [(190317.96380669097, 8256920.718193088), 3473], [(190543.73389733428, 8256226.53369567), 3474], [(190764.8297351453, 8255549.139404631), 3475], [(190986.1603798347, 8254862.241900344), 3476], [(191154.22959420964, 8254168.343725176), 3477], [(191246.79893305336, 8253468.299022499), 3478], [(191279.42207474765, 8253033.223491227), 3479]]"
